full_name,pdes,q,ad,a,e,i,om,w,tp,moid,per,per_y,t_jup,pr_class,dt_class,neo,pha
     1 Ceres (A801 AA),1,2.548883313,2.985625409,2.767254361,0.078912532,10.5868796,80.25497772,73.42179714,2459919.898,1.58322,1681.403889,4.603432962,3.31,Dwarfplanet,DP,N,N
134340 Pluto (1930 BM),134340,29.61871297,49.5585458,39.58862939,0.251837878,17.14771141,110.2923841,113.7090015,2447812.094,28.649,90981.71648,249.0943641,5.233,Dwarfplanet,DP,N,N
136108 Haumea (2003 EL61),136108,34.31658445,51.46695722,42.89177084,0.199926145,28.20947695,121.9750173,240.702583,2500139.755,33.4032,102602.8424,280.9112729,5.079,Dwarfplanet,DP,N,N
136199 Eris (2003 UB313),136199,38.6883254,97.61850976,68.15341758,0.432334771,43.74506417,36.07713489,150.8682568,2546169.097,37.7444,205508.5451,562.6517321,4.791,Dwarfplanet,DP,N,N
136472 Makemake (2005 FY9),136472,37.77866679,52.79251004,45.28558842,0.165768446,29.02545191,79.31400364,296.1548968,2408307.427,36.8817,111311.0936,304.7531652,5.203,Dwarfplanet,DP,N,N
 66959 (1999 XO35),66959,1.1024203,3.974847972,2.538634136,0.565742742,20.61948297,81.89498993,293.4980112,2460304.606,0.274598,1477.401719,4.04490546,3.128,Asteroid,AMO,Y,N
523592 (2001 SK276),523592,1.293439763,5.079184884,3.186312323,0.594063723,20.7583945,297.6498338,119.4671666,2460558.982,0.427421,2077.45173,5.687752855,2.81,Asteroid,AMO,Y,N
612529 (2002 XP40),612529,1.158341792,2.131202916,1.644772354,0.295743396,3.774456598,73.60971421,70.97532236,2460391.587,0.182088,770.4724662,2.109438648,4.235,Asteroid,AMO,Y,N
509102 (2005 VB7),509102,1.175581393,2.428552116,1.802066754,0.347648255,32.57156002,241.4287586,212.4004524,2459932.011,0.229061,883.5980297,2.419159561,3.817,Asteroid,AMO,Y,N
452389 (2002 NW16),452389,1.075128713,1.141973491,1.108551102,0.030149615,14.1631997,301.5270428,317.4090248,2460092.957,0.0671071,426.3163649,1.167190595,5.589,Asteroid,AMO,Y,N
