<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: part-04.csv>
26,308929 (2006 SE352),308929,2.299014181,3.20001375,2.749513966,0.163847062,7.001155228,235.7010801,103.2071279,2460549.733,1.30231,1665.261041,4.559236252,3.316,Asteroid,MBA,N,N
27,206100 (2002 RT180),206100,2.141976085,3.345876254,2.743926169,0.219375467,1.366881911,164.8633021,138.5248932,2460652.328,1.12634,1660.187193,4.545344814,3.313,Asteroid,MBA,N,N
28,163315 (2002 JT83),163315,2.291826541,3.116535166,2.704180853,0.152487698,11.42504021,41.9712247,255.9149563,2460799.058,1.30812,1624.246827,4.446945454,3.321,Asteroid,MBA,N,N
29,571073 (2007 BX96),571073,2.378846152,2.835205705,2.607025928,0.087524936,0.979591574,317.411873,228.4696781,2460497.495,1.37911,1537.504702,4.209458459,3.406,Asteroid,MBA,N,N
30,495394 (2014 QF263),495394,2.210822081,3.129592815,2.670207448,0.172041078,13.35503815,17.36294511,188.8672394,2459502.088,1.2071,1593.734343,4.363406826,3.322,Asteroid,MBA,N,N
31,106962 (2000 YO80),106962,1.718985101,2.800840375,2.259912738,0.239357754,2.313492168,268.7197953,116.6890777,2460442.943,0.723758,1240.897564,3.397392373,3.581,Asteroid,MBA,N,N
32,504545 (2008 SY131),504545,2.549505409,2.945255841,2.747380625,0.072023226,5.466994915,16.03627788,316.9812433,2459505.512,1.54232,1663.323309,4.553931032,3.337,Asteroid,MBA,N,N
33, 45070 (1999 XA36),45070,1.926960368,2.88945431,2.408207339,0.199836187,3.04237656,103.7546103,316.5898057,2459665.422,0.939944,1365.020709,3.737223022,3.492,Asteroid,MBA,N,N
34,154478 (2003 EJ10),154478,1.949933665,2.917830403,2.433882034,0.198838055,3.389740292,107.9900345,156.0444236,2459907.602,0.934052,1386.908195,3.797147692,3.476,Asteroid,MBA,N,N
35,623351 (2015 VR113),623351,2.315498536,3.895640367,3.105569451,0.254404523,11.36986906,224.8892501,199.1320553,2459357.134,1.3305,1998.988501,5.472932241,3.14,Asteroid,MBA,N,N
36,345094 (2005 MV35),345094,1.927784414,2.461623395,2.194703905,0.121619818,1.179329833,9.152191988,283.5606501,2460671.009,0.91144,1187.578513,3.251412768,3.66,Asteroid,MBA,N,N
37,214941 (2007 VO253),214941,1.937345988,2.695167136,2.316256562,0.16358748,4.179710341,152.9920873,237.4175751,2460774.933,0.945285,1287.592448,3.525235998,3.559,Asteroid,MBA,N,N
38,507196 (2010 TN17),507196,1.806942248,2.607082153,2.2070122,0.181272198,7.295245983,353.4039855,340.5661806,2460168.023,0.798581,1197.582739,3.278802845,3.628,Asteroid,MBA,N,N
39, 68929 (2002 OB4),68929,2.175960759,2.973103509,2.574532134,0.154813129,11.36341262,298.3503591,115.6543661,2460169.106,1.21451,1508.849426,4.13100459,3.384,Asteroid,MBA,N,N
40, 15549 (2000 FN),15549,1.752362227,2.681656949,2.217009588,0.209582928,7.132194498,127.1556796,175.2149479,2460345.856,0.736542,1205.729215,3.301106679,3.614,Asteroid,MBA,N,N
41,416209 (2002 TM375),416209,1.770533911,3.176154805,2.473344358,0.284153901,3.005619988,118.1972416,258.0686983,2459648.015,0.774125,1420.775,3.889869951,3.424,Asteroid,MBA,N,N
42,292202 (2006 SY34),292202,2.114650304,3.092970532,2.603810418,0.187863183,3.94705855,230.5711184,70.07439594,2459928.45,1.10251,1534.661037,4.201672929,3.385,Asteroid,MBA,N,N
43,156974 (2003 JO4),156974,2.2960738,2.850024722,2.573049261,0.107644834,5.147645926,59.58180239,145.4262872,2460283.628,1.29264,1507.546019,4.127436055,3.415,Asteroid,MBA,N,N
44,186275 (2002 AK31),186275,2.323298343,3.841206247,3.082252295,0.246233559,19.62145902,144.3537093,78.05170243,2460538.538,1.40842,1976.517681,5.41141049,3.093,Asteroid,MBA,N,N
45,514915 (2008 TO38),514915,2.027381515,3.051317242,2.539349379,0.201613794,3.434826054,266.9726937,206.0043778,2460921.708,1.04322,1478.026135,4.046615017,3.415,Asteroid,MBA,N,N
46,101940 (1999 RW23),101940,1.759996487,2.831093574,2.295545031,0.23329908,6.00225691,21.12277502,339.9365017,2460343.493,0.758097,1270.360998,3.478058857,3.551,Asteroid,MBA,N,N
